id,saledate,vehicletype,manufacturer,price,saletype,color,mileage,financingtype,customerarea
355,2022-11-03,Rogue,Nissan,20478,used,Blue,68012,Loan,Downtown
356,2019-01-18,Rogue,Nissan,21224,used,Gray,52649,Loan,Downtown
357,2022-06-17,Forte,Kia,22564,used,Black,33148,Cash,UpperEast
358,2021-06-30,Civic,Honda,17445,used,Silver,11937,Loan,Midtown
359,2023-07-09,Passat,Volkswagen,31888,new,Black,0,Loan,LittleItaly
360,2023-10-17,Sentra,Nissan,20839,used,Black,29629,Loan,Financial
361,2020-01-02,Escape,Ford,23933,new,Blue,0,Cash,Harlem
362,2022-12-28,Outback,Subaru,28425,used,Gray,61427,Loan,Bronx
363,2022-03-30,Corolla,Toyota,21288,used,Blue,47722,Cash,Astoria
364,2019-07-28,Impala,Chevrolet,16141,used,White,46293,Loan,TimesSquare
365,2022-10-04,Sentra,Nissan,26296,new,Blue,0,Loan,Downtown
366,2020-03-02,Equinox,Chevrolet,26557,used,Gray,24610,Cash,UpperWest
367,2022-04-01,Sentra,Nissan,28822,used,White,68535,Loan,Chelsea
368,2020-12-07,Impala,Chevrolet,21486,used,White,12546,Lease,Bronx
369,2023-11-13,Outback,Subaru,26731,used,Blue,26865,Loan,TimesSquare
370,2021-11-24,CX-5,Mazda,32185,new,Gray,0,Loan,Tribeca
371,2022-06-19,Equinox,Chevrolet,29443,new,Red,0,Loan,Williamsburg
372,2022-06-13,RAV4,Toyota,18209,new,Gray,0,Lease,Midtown
373,2022-10-18,Sentra,Nissan,28873,new,Red,0,Cash,Bronx
374,2021-10-14,Corolla,Toyota,29046,used,Silver,66532,Cash,TimesSquare
375,2021-10-05,Malibu,Chevrolet,23419,used,Blue,32125,Lease,Harlem
376,2019-04-13,CX-5,Mazda,23333,used,Black,46908,Loan,Astoria
377,2020-04-25,Impala,Chevrolet,15561,used,Blue,15973,Lease,Bronx
378,2020-07-10,CRV,Honda,22353,used,Red,52880,Loan,Tribeca
379,2022-05-22,Elantra,Hyundai,16853,used,Black,43378,Loan,Brooklyn
380,2020-06-01,Sentra,Nissan,22488,used,White,52553,Cash,SoHo
381,2020-09-12,Civic,Honda,33658,new,Blue,0,Lease,Astoria
382,2022-07-24,Focus,Ford,23587,new,Red,0,Lease,LittleItaly
383,2020-08-19,Sentra,Nissan,25861,new,Blue,0,Loan,Chelsea
384,2023-03-16,Camry,Toyota,33752,new,Blue,0,Cash,Chinatown
385,2020-11-06,RAV4,Toyota,18143,new,Blue,0,Loan,Manhattan
386,2023-09-18,Impala,Chevrolet,22950,new,Blue,0,Lease,Queens
387,2022-06-04,Outback,Subaru,24709,used,White,38711,Lease,Harlem
388,2020-01-03,Focus,Ford,30902,new,Blue,0,Cash,Chinatown
389,2020-06-25,Sonata,Hyundai,17304,used,Silver,60760,Cash,Bronx
390,2019-10-12,Optima,Kia,25188,used,White,20585,Loan,Downtown
391,2022-09-10,Elantra,Hyundai,20403,used,Blue,16960,Loan,Flushing
392,2022-03-27,Sonata,Hyundai,25497,used,Red,36244,Cash,SoHo
393,2020-10-07,Sentra,Nissan,31074,new,Black,0,Loan,Downtown
394,2019-11-04,CRV,Honda,30016,new,Blue,0,Lease,SoHo
395,2021-08-20,Impreza,Subaru,24772,new,Black,0,Cash,SoHo
396,2022-09-21,Legacy,Subaru,26156,used,Black,65103,Lease,UpperEast
397,2022-04-07,Equinox,Chevrolet,18048,new,Red,0,Loan,Chelsea
398,2023-02-25,Sportage,Kia,32953,new,White,0,Lease,Manhattan
399,2020-12-21,Escape,Ford,33534,new,Gray,0,Cash,Financial
400,2023-11-04,Equinox,Chevrolet,25469,used,Silver,63307,Lease,Astoria
401,2019-02-03,Passat,Volkswagen,23231,used,Red,31672,Lease,Tribeca
402,2020-05-03,Impala,Chevrolet,21100,new,Silver,0,Lease,LittleItaly
403,2023-06-03,Escape,Ford,30035,new,Blue,0,Cash,Bronx
404,2022-08-07,Mazda6,Mazda,32268,new,White,0,Loan,Chelsea
405,2022-10-29,Sentra,Nissan,22825,used,Silver,55856,Loan,TimesSquare
406,2019-01-29,Camry,Toyota,18200,new,White,0,Lease,StatenIsland
407,2019-04-05,CRV,Honda,23716,used,White,12515,Loan,Flushing
408,2020-12-29,Equinox,Chevrolet,18204,new,Black,0,Cash,LittleItaly
409,2021-09-05,Sportage,Kia,25930,new,Red,0,Cash,Queens
410,2023-04-21,Corolla,Toyota,19199,new,Silver,0,Cash,LittleItaly
411,2020-08-19,Tucson,Hyundai,28067,new,White,0,Lease,Manhattan
412,2022-08-22,Camry,Toyota,21496,new,Gray,0,Cash,Astoria
413,2019-09-11,Civic,Honda,30281,new,Red,0,Loan,UpperWest
414,2021-09-16,Impala,Chevrolet,18979,new,Silver,0,Lease,Flushing
415,2023-10-01,Legacy,Subaru,31346,new,White,0,Loan,Flushing
416,2022-03-28,Sentra,Nissan,32864,new,Black,0,Loan,LittleItaly
417,2023-04-23,Jetta,Volkswagen,28212,used,Silver,73574,Lease,Chelsea
418,2023-08-11,Impala,Chevrolet,17870,used,White,77427,Cash,Williamsburg
419,2023-07-26,Impreza,Subaru,25329,new,Red,0,Loan,Financial
420,2022-08-25,Legacy,Subaru,22415,new,Gray,0,Cash,Flushing
421,2023-08-21,Tiguan,Volkswagen,21018,new,White,0,Cash,Manhattan
422,2020-09-29,Focus,Ford,34467,new,Gray,0,Cash,Brooklyn
423,2020-05-24,RAV4,Toyota,19307,used,Blue,65964,Cash,UpperWest
424,2021-01-23,Accord,Honda,21466,used,Gray,35812,Cash,Tribeca
425,2020-04-17,CX-5,Mazda,18460,used,Red,27020,Cash,Bronx
426,2020-05-17,Tiguan,Volkswagen,34884,new,White,0,Loan,Tribeca
427,2019-08-16,Malibu,Chevrolet,20374,new,Blue,0,Loan,Brooklyn
428,2019-12-15,Camry,Toyota,27990,new,White,0,Lease,Brooklyn
429,2020-10-15,CRV,Honda,25271,used,Black,10597,Loan,UpperEast
430,2023-06-30,Equinox,Chevrolet,20590,used,Silver,36638,Loan,StatenIsland
431,2020-04-12,Equinox,Chevrolet,34676,new,Silver,0,Lease,Astoria
432,2019-12-24,Rogue,Nissan,18538,used,Red,78788,Lease,StatenIsland
433,2022-09-08,Jetta,Volkswagen,23375,new,Blue,0,Lease,Midtown
434,2021-01-31,Passat,Volkswagen,22129,new,Black,0,Cash,StatenIsland
435,2023-07-14,Civic,Honda,17789,used,Gray,22327,Loan,LittleItaly
436,2019-07-21,Corolla,Toyota,29194,new,Blue,0,Cash,Financial
437,2022-02-11,Sportage,Kia,22539,used,White,44565,Loan,Downtown
438,2021-10-29,RAV4,Toyota,27148,used,Red,58869,Loan,Bronx
439,2019-06-10,CRV,Honda,34888,new,Blue,0,Lease,Williamsburg
440,2023-05-12,Outback,Subaru,34125,new,White,0,Loan,Midtown
441,2022-05-24,Jetta,Volkswagen,26804,new,Red,0,Cash,Brooklyn
442,2021-01-17,Elantra,Hyundai,26643,used,Blue,47110,Cash,SoHo
443,2021-11-30,Sonata,Hyundai,32379,new,Black,0,Loan,Tribeca
444,2021-03-18,Outback,Subaru,28796,new,Silver,0,Lease,Downtown
445,2022-01-03,Altima,Nissan,15254,used,Silver,42198,Cash,UpperEast
446,2023-03-15,Impreza,Subaru,23905,new,Gray,0,Lease,UpperWest
447,2022-07-12,Passat,Volkswagen,25658,new,White,0,Cash,TimesSquare
448,2020-03-24,Tucson,Hyundai,32414,new,Silver,0,Lease,Downtown
449,2020-11-07,Civic,Honda,24959,new,White,0,Lease,Brooklyn
450,2022-09-23,Camry,Toyota,17456,used,Red,35514,Cash,Downtown
451,2021-01-09,Outback,Subaru,26275,new,Black,0,Lease,Downtown
452,2022-08-14,RAV4,Toyota,20934,new,Silver,0,Cash,StatenIsland
453,2022-12-08,Sentra,Nissan,22144,used,Gray,35891,Lease,Tribeca
454,2020-01-30,Mazda6,Mazda,18936,new,Gray,0,Lease,Chinatown
455,2020-04-08,Escape,Ford,20945,new,Blue,0,Loan,Williamsburg
456,2021-07-12,Escape,Ford,18580,used,Blue,31473,Loan,Flushing
457,2019-06-02,Mazda6,Mazda,23400,used,Silver,25253,Loan,Chelsea
458,2021-11-22,CX-5,Mazda,25561,new,Silver,0,Cash,Queens
459,2021-11-22,Tucson,Hyundai,18710,used,Blue,12341,Lease,Manhattan
460,2019-04-01,Elantra,Hyundai,20101,used,Blue,34566,Cash,Downtown
461,2023-02-23,Impala,Chevrolet,24690,new,Black,0,Loan,Harlem
462,2021-01-15,Sentra,Nissan,24654,new,Black,0,Lease,Flushing
463,2021-11-23,Legacy,Subaru,21857,new,Silver,0,Lease,Williamsburg
464,2021-04-29,Sonata,Hyundai,24240,used,Gray,15385,Cash,Chelsea
465,2022-01-13,Escape,Ford,24314,used,Gray,48218,Cash,Flushing
466,2020-11-10,Altima,Nissan,30899,new,Red,0,Cash,LittleItaly
467,2020-04-29,Mazda3,Mazda,27424,new,Red,0,Cash,Downtown
468,2020-11-26,Impala,Chevrolet,33511,new,Black,0,Loan,Queens
469,2022-05-15,Corolla,Toyota,33654,new,Red,0,Cash,LittleItaly
470,2021-12-30,Impala,Chevrolet,15861,used,Blue,46986,Loan,UpperEast
471,2022-01-06,Sonata,Hyundai,18785,used,Black,40919,Lease,UpperEast
472,2021-07-28,Tiguan,Volkswagen,34063,new,Black,0,Lease,Williamsburg
473,2019-08-17,Sonata,Hyundai,24787,used,Gray,49213,Loan,StatenIsland
474,2021-09-24,Impreza,Subaru,28703,new,Blue,0,Loan,Harlem
475,2020-07-08,Elantra,Hyundai,20775,used,Black,56885,Loan,Chelsea
476,2021-02-25,Camry,Toyota,27128,used,Black,51581,Loan,Chelsea
477,2019-07-28,Legacy,Subaru,18729,new,Blue,0,Loan,Harlem
478,2021-12-18,Tiguan,Volkswagen,26245,new,Gray,0,Cash,Manhattan
479,2023-08-04,Equinox,Chevrolet,27804,new,Silver,0,Loan,Financial
480,2021-10-05,Optima,Kia,16100,used,White,51165,Lease,Chelsea
481,2020-11-20,Corolla,Toyota,23356,new,White,0,Cash,Midtown
482,2019-08-25,Impala,Chevrolet,30394,new,Silver,0,Loan,StatenIsland
483,2023-03-08,Forte,Kia,24044,new,Blue,0,Cash,TimesSquare
484,2019-02-27,Elantra,Hyundai,25075,new,Blue,0,Loan,Williamsburg
485,2023-02-14,Mazda6,Mazda,28982,used,Gray,37277,Cash,Bronx
486,2023-06-29,Fusion,Ford,17848,used,Black,39259,Cash,TimesSquare
487,2020-11-04,Legacy,Subaru,22521,new,Black,0,Loan,Brooklyn
488,2020-04-27,Impala,Chevrolet,29793,new,Red,0,Lease,Midtown
489,2019-12-06,Passat,Volkswagen,29016,new,Silver,0,Lease,Chinatown
490,2022-09-09,Equinox,Chevrolet,20639,new,Black,0,Loan,Financial
491,2020-04-09,Sonata,Hyundai,20899,used,White,46814,Lease,Bronx
492,2021-08-15,Fusion,Ford,21952,new,Silver,0,Cash,Flushing
493,2021-05-19,Legacy,Subaru,30296,new,Silver,0,Cash,Harlem
494,2019-03-10,Malibu,Chevrolet,28719,new,Blue,0,Lease,Williamsburg
495,2020-11-20,Rogue,Nissan,22569,new,Blue,0,Lease,Manhattan
496,2020-08-30,Passat,Volkswagen,32325,new,Red,0,Lease,Queens
497,2023-03-11,Malibu,Chevrolet,17553,used,Blue,19528,Lease,Williamsburg
498,2021-08-04,Tiguan,Volkswagen,25918,new,Silver,0,Cash,Midtown
499,2023-06-13,Civic,Honda,16398,used,White,60496,Loan,SoHo
500,2020-08-28,Optima,Kia,32984,new,Blue,0,Lease,Chinatown
501,2022-02-13,Camry,Toyota,18057,used,White,37543,Lease,SoHo
502,2019-12-04,Tucson,Hyundai,34410,new,Gray,0,Lease,TimesSquare
503,2020-12-25,Outback,Subaru,27415,new,Red,0,Cash,SoHo
504,2019-09-09,Sportage,Kia,27299,used,Blue,41385,Cash,Astoria
505,2023-11-27,Rogue,Nissan,30307,new,Silver,0,Cash,SoHo
506,2020-06-15,Outback,Subaru,22908,new,Gray,0,Loan,Manhattan
507,2019-05-11,Rogue,Nissan,30625,new,Black,0,Loan,Manhattan
508,2020-09-03,CRV,Honda,24749,used,White,38211,Loan,Financial
509,2019-09-27,Tiguan,Volkswagen,22148,new,Blue,0,Cash,Midtown
510,2022-01-11,CX-5,Mazda,32639,new,Gray,0,Lease,Midtown
511,2019-06-27,Impreza,Subaru,24462,used,Red,30094,Cash,SoHo
512,2021-04-06,Forte,Kia,32293,new,White,0,Loan,Tribeca
513,2019-01-16,Impreza,Subaru,22934,used,Black,33777,Loan,SoHo
514,2020-01-12,Tiguan,Volkswagen,25253,used,Gray,79837,Loan,Tribeca
515,2022-07-16,Altima,Nissan,33630,new,Black,0,Cash,SoHo
516,2023-05-21,Tucson,Hyundai,29530,new,Gray,0,Lease,Astoria
517,2019-03-21,CX-5,Mazda,32015,new,Silver,0,Lease,UpperWest
518,2022-03-15,Malibu,Chevrolet,27864,new,Silver,0,Loan,StatenIsland
519,2019-11-25,Civic,Honda,30370,new,Black,0,Cash,Astoria
520,2022-04-06,Altima,Nissan,27394,new,Red,0,Loan,LittleItaly
521,2019-09-20,Jetta,Volkswagen,22404,used,White,13629,Cash,Tribeca
522,2022-12-31,Tucson,Hyundai,21914,used,Gray,65493,Lease,Tribeca
523,2022-06-05,Forte,Kia,32565,new,Silver,0,Cash,SoHo
524,2019-08-14,Sonata,Hyundai,26861,new,Gray,0,Cash,UpperEast
525,2020-04-19,Sportage,Kia,24610,used,Gray,78894,Lease,UpperWest
526,2022-03-26,Rogue,Nissan,22590,used,Silver,40571,Lease,Harlem
527,2022-05-08,Rogue,Nissan,22554,used,Blue,50366,Lease,Downtown
528,2021-04-18,Tucson,Hyundai,28318,used,Gray,24330,Loan,StatenIsland
529,2020-08-07,RAV4,Toyota,29035,used,White,74909,Lease,Brooklyn
530,2023-04-03,Mazda6,Mazda,21003,used,Gray,52508,Lease,Midtown
531,2020-08-21,Elantra,Hyundai,28472,used,White,36222,Cash,Brooklyn
532,2022-07-08,Corolla,Toyota,22558,new,Black,0,Lease,Astoria
533,2022-01-06,Tiguan,Volkswagen,16601,used,White,39778,Lease,Chelsea
534,2021-03-09,RAV4,Toyota,26428,new,Blue,0,Cash,StatenIsland
535,2021-07-13,Corolla,Toyota,27792,used,Blue,12944,Cash,Manhattan
536,2019-09-06,Civic,Honda,25197,new,White,0,Loan,Bronx
537,2021-11-11,Camry,Toyota,21135,used,Black,48329,Cash,Bronx
538,2019-07-09,Tiguan,Volkswagen,34464,new,Silver,0,Cash,Brooklyn
539,2020-04-26,Sportage,Kia,18279,new,Gray,0,Lease,Midtown
540,2023-02-12,Forte,Kia,27700,new,Gray,0,Loan,StatenIsland
541,2019-11-04,Impala,Chevrolet,32287,new,Silver,0,Loan,SoHo
542,2022-12-18,Accord,Honda,20456,new,Red,0,Cash,SoHo
543,2021-11-14,Escape,Ford,18820,new,White,0,Cash,Tribeca
544,2022-05-09,Escape,Ford,26025,new,Silver,0,Cash,UpperWest
545,2020-02-12,Outback,Subaru,24194,used,Blue,53919,Cash,TimesSquare
546,2021-06-14,Civic,Honda,23511,new,Gray,0,Lease,Flushing
547,2022-12-19,Impala,Chevrolet,29287,new,White,0,Cash,Brooklyn
548,2021-10-07,Altima,Nissan,30534,new,White,0,Cash,UpperWest
549,2021-03-20,Mazda6,Mazda,24399,new,Blue,0,Loan,SoHo
550,2022-12-08,Escape,Ford,24661,new,Gray,0,Loan,Tribeca
551,2020-09-25,Passat,Volkswagen,28797,new,Red,0,Lease,Brooklyn
552,2021-01-29,Rogue,Nissan,18692,used,Gray,71704,Lease,TimesSquare
553,2022-06-26,Focus,Ford,34057,new,Blue,0,Loan,SoHo
554,2020-12-26,Focus,Ford,26583,used,Black,38872,Cash,Chelsea
555,2023-08-26,Malibu,Chevrolet,27438,used,White,57057,Cash,Chinatown
556,2019-05-13,Focus,Ford,20230,used,Black,65017,Lease,TimesSquare
557,2022-10-23,Passat,Volkswagen,33901,new,White,0,Cash,Downtown
558,2023-12-08,Jetta,Volkswagen,17035,used,White,60279,Cash,Harlem
559,2023-04-14,Camry,Toyota,28212,new,Red,0,Cash,Chelsea
560,2021-09-25,Elantra,Hyundai,24934,used,White,11537,Cash,Manhattan
561,2019-08-12,Equinox,Chevrolet,34630,new,Silver,0,Lease,UpperWest
562,2019-09-28,CX-5,Mazda,19080,new,Blue,0,Loan,Downtown
563,2021-12-20,Fusion,Ford,17186,used,Silver,50815,Cash,LittleItaly
564,2022-08-03,Sentra,Nissan,31008,new,Black,0,Loan,Downtown
565,2023-05-02,Accord,Honda,21109,used,Silver,19101,Loan,Bronx
566,2019-12-16,CX-5,Mazda,20607,used,Silver,57316,Lease,Downtown
567,2021-06-19,Forte,Kia,23075,used,White,15832,Cash,Tribeca
568,2020-06-26,Forte,Kia,26638,used,Red,32009,Cash,Midtown
569,2022-10-30,RAV4,Toyota,22243,new,Black,0,Cash,Downtown
570,2023-09-19,Tucson,Hyundai,28004,used,White,19617,Cash,Chinatown
571,2020-02-14,Legacy,Subaru,30164,new,Red,0,Lease,Queens
572,2021-03-03,Altima,Nissan,16050,used,Black,48397,Lease,Downtown
573,2019-08-07,RAV4,Toyota,34679,new,Silver,0,Lease,LittleItaly
574,2022-09-14,Accord,Honda,20882,new,Gray,0,Loan,Harlem
575,2022-05-04,Mazda3,Mazda,21530,used,Blue,55574,Lease,Financial
576,2022-03-15,CX-5,Mazda,32962,new,Black,0,Lease,LittleItaly
577,2019-03-20,Optima,Kia,31225,new,Blue,0,Cash,UpperWest
578,2020-02-23,Outback,Subaru,29133,used,Red,63126,Loan,SoHo
579,2021-09-27,CX-5,Mazda,20532,new,Blue,0,Lease,Downtown
580,2021-07-26,Fusion,Ford,22442,used,Gray,12600,Cash,Chinatown
581,2023-08-28,Altima,Nissan,34287,new,Red,0,Lease,Manhattan
582,2021-06-13,Elantra,Hyundai,21418,used,Silver,10294,Cash,Tribeca
583,2023-03-07,Outback,Subaru,21115,used,White,59738,Cash,UpperEast
584,2022-01-27,Camry,Toyota,19875,used,Blue,17454,Cash,Flushing
585,2021-08-17,Tiguan,Volkswagen,16033,used,Blue,61173,Cash,UpperEast
586,2019-06-19,Focus,Ford,23942,new,Red,0,Loan,Williamsburg
587,2020-10-19,Jetta,Volkswagen,19705,new,Red,0,Loan,Tribeca
588,2019-08-29,Sentra,Nissan,21842,used,Red,41190,Lease,Williamsburg
589,2022-01-23,Mazda3,Mazda,29196,used,Silver,70256,Lease,SoHo
590,2022-12-26,Tucson,Hyundai,19952,new,Silver,0,Cash,StatenIsland
591,2019-08-24,CRV,Honda,34296,new,Black,0,Lease,Bronx
592,2021-07-02,Elantra,Hyundai,24763,used,Gray,65105,Loan,Financial
593,2019-07-20,Tiguan,Volkswagen,19155,new,Gray,0,Loan,Midtown
594,2023-08-09,Altima,Nissan,32220,new,Gray,0,Loan,StatenIsland
595,2022-09-19,Rogue,Nissan,32246,new,Gray,0,Lease,Downtown
596,2022-08-09,Impala,Chevrolet,25233,used,Gray,62507,Cash,Downtown
597,2021-11-04,Impreza,Subaru,24841,used,Silver,27802,Loan,StatenIsland
598,2021-01-03,Altima,Nissan,28532,used,Black,32430,Lease,Downtown
599,2020-03-03,Malibu,Chevrolet,19978,used,White,58281,Loan,Williamsburg
600,2023-01-26,Rogue,Nissan,30056,new,Silver,0,Lease,Brooklyn
601,2019-12-14,Fusion,Ford,22954,new,Blue,0,Loan,TimesSquare
602,2023-06-06,Sentra,Nissan,22715,used,Blue,38501,Cash,Downtown
603,2022-06-21,Mazda6,Mazda,17284,used,Silver,16582,Loan,Flushing
604,2022-12-25,Sentra,Nissan,18062,used,Silver,64326,Cash,Williamsburg
605,2022-06-17,Escape,Ford,23318,new,Silver,0,Cash,SoHo
606,2019-01-13,Civic,Honda,20022,used,Black,79116,Loan,SoHo
607,2022-06-02,Outback,Subaru,24479,used,Gray,42265,Lease,SoHo
608,2021-08-14,Camry,Toyota,20281,used,Blue,28170,Loan,Downtown
609,2022-04-07,Sentra,Nissan,16963,used,Red,29309,Loan,Chelsea
610,2023-05-20,Sportage,Kia,27866,used,Silver,57732,Loan,Manhattan
611,2021-05-21,Camry,Toyota,24139,new,Red,0,Lease,Financial
612,2020-05-08,Tiguan,Volkswagen,24045,used,Silver,25457,Cash,Williamsburg
613,2019-04-03,Optima,Kia,25925,used,Silver,19566,Cash,Downtown
614,2023-01-12,Forte,Kia,22396,used,Black,47050,Lease,Downtown
615,2021-03-01,CRV,Honda,27988,new,Black,0,Loan,Astoria
616,2019-07-08,Malibu,Chevrolet,34752,new,Red,0,Loan,Chinatown
617,2019-09-04,Optima,Kia,22149,new,Blue,0,Cash,Chelsea
618,2019-09-16,Outback,Subaru,24613,used,Gray,74657,Cash,Brooklyn
619,2019-03-14,Passat,Volkswagen,31721,new,Silver,0,Lease,Financial
620,2021-05-26,Sonata,Hyundai,18318,used,Gray,63938,Loan,LittleItaly
621,2020-07-28,Rogue,Nissan,28050,new,White,0,Loan,SoHo
622,2023-03-19,Sportage,Kia,30405,new,Blue,0,Lease,Astoria
623,2023-02-21,Impreza,Subaru,26726,used,Black,24536,Lease,Flushing
624,2023-03-20,Camry,Toyota,18807,new,Blue,0,Lease,StatenIsland
625,2022-10-30,Optima,Kia,26326,used,Gray,37315,Lease,Astoria
626,2020-09-18,Rogue,Nissan,22442,used,Gray,35411,Cash,Downtown
627,2020-10-21,Tucson,Hyundai,31888,new,White,0,Cash,Manhattan
628,2021-09-18,Sonata,Hyundai,31871,new,Gray,0,Loan,Williamsburg
629,2021-10-27,Sentra,Nissan,27319,used,Red,30224,Cash,SoHo
630,2020-05-23,Equinox,Chevrolet,21132,new,Black,0,Loan,Bronx
631,2023-05-29,Impala,Chevrolet,33906,new,Red,0,Lease,Williamsburg
632,2019-10-27,RAV4,Toyota,15774,used,Gray,46596,Loan,Manhattan
633,2022-11-02,Mazda6,Mazda,20404,new,Black,0,Loan,Chinatown
634,2021-04-01,Outback,Subaru,31299,new,White,0,Loan,Bronx
635,2023-02-13,CX-5,Mazda,21825,new,Blue,0,Lease,Downtown
636,2022-08-14,Equinox,Chevrolet,31302,new,Red,0,Loan,Financial
637,2023-08-30,Malibu,Chevrolet,18252,new,White,0,Loan,Flushing
638,2021-09-10,Escape,Ford,21667,used,Black,74639,Loan,Chelsea
639,2022-06-29,Escape,Ford,21930,used,Black,60617,Cash,Chelsea
640,2019-12-11,Legacy,Subaru,27254,new,White,0,Loan,Queens
641,2021-06-06,Civic,Honda,29264,used,Gray,74774,Cash,Chelsea
642,2021-12-10,Malibu,Chevrolet,20028,new,Black,0,Cash,UpperWest
643,2019-10-06,Sonata,Hyundai,20795,used,Black,73344,Loan,Bronx
644,2019-01-08,Mazda6,Mazda,15512,used,Gray,29164,Lease,Queens
645,2021-05-18,RAV4,Toyota,31870,new,Silver,0,Loan,TimesSquare
646,2022-09-11,Sonata,Hyundai,24551,new,White,0,Loan,Tribeca
647,2020-01-26,Sonata,Hyundai,16760,used,Silver,25189,Cash,UpperWest
648,2023-11-25,Tiguan,Volkswagen,21324,used,White,12677,Cash,Brooklyn
649,2023-12-09,Camry,Toyota,32365,new,Silver,0,Cash,Queens
650,2023-02-11,Fusion,Ford,18325,new,Gray,0,Loan,Williamsburg
651,2021-10-23,CRV,Honda,20486,used,Blue,23289,Lease,Brooklyn
652,2020-04-19,Rogue,Nissan,23347,used,Blue,41901,Lease,Chinatown
653,2023-08-03,Sonata,Hyundai,22449,used,Black,22101,Loan,UpperWest
654,2020-08-13,Focus,Ford,16767,used,Silver,45067,Lease,TimesSquare
655,2022-08-28,Forte,Kia,19146,new,Silver,0,Loan,UpperEast
656,2021-08-21,Passat,Volkswagen,31371,new,Red,0,Cash,SoHo
657,2022-10-29,Fusion,Ford,25291,used,Blue,18324,Cash,Chinatown
658,2022-08-08,Legacy,Subaru,23189,used,White,44653,Cash,TimesSquare
659,2023-09-30,Jetta,Volkswagen,25869,new,Gray,0,Lease,Downtown
660,2019-08-03,Equinox,Chevrolet,15775,used,White,15106,Lease,SoHo
661,2019-04-11,Altima,Nissan,31221,new,Silver,0,Lease,Chinatown
662,2021-04-05,Mazda3,Mazda,18632,new,Red,0,Loan,Tribeca
663,2022-03-12,Rogue,Nissan,28406,used,White,11817,Loan,Harlem
664,2020-01-06,Camry,Toyota,23974,used,Black,54418,Loan,Bronx
665,2023-03-11,Mazda3,Mazda,30282,new,Black,0,Loan,Downtown
666,2021-03-18,Forte,Kia,23175,used,Silver,59708,Lease,Midtown
667,2019-05-22,Legacy,Subaru,26593,new,Silver,0,Lease,Tribeca
668,2022-02-24,Mazda3,Mazda,26796,new,Red,0,Lease,UpperEast
669,2020-09-28,Sportage,Kia,23233,new,Red,0,Loan,Chinatown
670,2022-02-25,Passat,Volkswagen,18190,used,Silver,69046,Loan,Queens
671,2019-02-03,Sportage,Kia,23652,used,Silver,31884,Cash,Queens
672,2021-10-08,Civic,Honda,23857,new,White,0,Lease,TimesSquare
673,2021-05-05,Tiguan,Volkswagen,19859,used,White,79637,Loan,Queens
674,2021-02-10,Legacy,Subaru,19947,used,Red,47634,Loan,Chelsea
675,2022-06-02,Altima,Nissan,21028,used,Black,15083,Loan,Chelsea
676,2020-12-10,Passat,Volkswagen,20543,new,Blue,0,Loan,Downtown
677,2020-04-16,Optima,Kia,24644,used,White,34956,Loan,UpperEast
678,2023-11-06,Civic,Honda,26671,used,Silver,56143,Lease,Midtown
679,2023-03-31,Optima,Kia,18655,used,Blue,40658,Lease,Queens
680,2023-03-01,Jetta,Volkswagen,25220,new,White,0,Lease,TimesSquare
681,2021-11-27,Sentra,Nissan,26784,new,Red,0,Lease,Tribeca
682,2021-01-27,Outback,Subaru,32615,new,Silver,0,Cash,Downtown
683,2023-03-05,Passat,Volkswagen,22473,used,Red,51818,Loan,StatenIsland
684,2019-12-06,Equinox,Chevrolet,21785,used,Blue,27918,Cash,Williamsburg
685,2022-02-18,Focus,Ford,20333,used,Gray,16949,Loan,Chelsea
686,2020-03-12,RAV4,Toyota,23104,used,Silver,65617,Cash,Downtown
687,2019-12-17,Malibu,Chevrolet,21367,new,Silver,0,Lease,TimesSquare
688,2022-05-25,Elantra,Hyundai,15769,used,Gray,77249,Cash,Astoria
689,2022-11-04,Sentra,Nissan,20322,new,Red,0,Lease,Flushing
690,2023-04-10,Elantra,Hyundai,33148,new,Gray,0,Lease,Manhattan
691,2020-09-18,Impala,Chevrolet,29985,new,Blue,0,Lease,Chinatown
692,2021-01-27,Jetta,Volkswagen,34492,new,Silver,0,Cash,UpperEast
693,2019-09-12,Altima,Nissan,29341,used,Red,73926,Lease,Chelsea
694,2021-10-15,Fusion,Ford,18852,new,Black,0,Loan,Financial
695,2022-08-01,Legacy,Subaru,21418,new,Black,0,Loan,StatenIsland
696,2019-04-21,Malibu,Chevrolet,21661,used,White,50791,Loan,Astoria
697,2023-09-25,CX-5,Mazda,19417,used,Gray,20690,Loan,Chinatown
698,2023-10-06,Outback,Subaru,19371,used,Blue,58125,Lease,Chinatown
699,2020-12-16,Malibu,Chevrolet,21503,used,Red,18994,Loan,Chelsea
700,2020-03-03,Impala,Chevrolet,29006,new,White,0,Cash,Queens
701,2021-08-18,Optima,Kia,32849,new,White,0,Cash,Financial
702,2023-06-05,Fusion,Ford,19315,used,Gray,17288,Cash,Manhattan
703,2021-05-30,Outback,Subaru,15258,used,Silver,64749,Loan,Brooklyn
704,2023-09-12,Accord,Honda,19952,new,Silver,0,Cash,Bronx
705,2022-10-01,CX-5,Mazda,20781,used,Gray,59644,Cash,Downtown
706,2023-07-10,Altima,Nissan,23130,used,Silver,58722,Cash,Williamsburg
707,2020-02-20,Mazda3,Mazda,26186,used,White,60330,Cash,Williamsburg
