id,saledate,vehicletype,manufacturer,price,saletype,customerage,color,mileage,financingtype
390,2019-10-12,Optima,Kia,25188,used,62,White,20585,Loan
391,2022-09-10,Elantra,Hyundai,20403,used,33,Blue,16960,Loan
392,2022-03-27,Sonata,Hyundai,25497,used,25,Red,36244,Cash
393,2020-10-07,Sentra,Nissan,31074,new,38,Black,0,Loan
394,2019-11-04,CRV,Honda,30016,new,29,Blue,0,Lease
395,2021-08-20,Impreza,Subaru,24772,new,47,Black,0,Cash
396,2022-09-21,Legacy,Subaru,26156,used,54,Black,65103,Lease
397,2022-04-07,Equinox,Chevrolet,18048,new,25,Red,0,Loan
398,2023-02-25,Sportage,Kia,32953,new,30,White,0,Lease
399,2020-12-21,Escape,Ford,33534,new,55,Gray,0,Cash
400,2023-11-04,Equinox,Chevrolet,25469,used,53,Silver,63307,Lease
401,2019-02-03,Passat,Volkswagen,23231,used,49,Red,31672,Lease
402,2020-05-03,Impala,Chevrolet,21100,new,55,Silver,0,Lease
403,2023-06-03,Escape,Ford,30035,new,57,Blue,0,Cash
404,2022-08-07,Mazda6,Mazda,32268,new,40,White,0,Loan
405,2022-10-29,Sentra,Nissan,22825,used,65,Silver,55856,Loan
406,2019-01-29,Camry,Toyota,18200,new,43,White,0,Lease
407,2019-04-05,CRV,Honda,23716,used,53,White,12515,Loan
408,2020-12-29,Equinox,Chevrolet,18204,new,65,Black,0,Cash
409,2021-09-05,Sportage,Kia,25930,new,65,Red,0,Cash
410,2023-04-21,Corolla,Toyota,19199,new,48,Silver,0,Cash
411,2020-08-19,Tucson,Hyundai,28067,new,52,White,0,Lease
412,2022-08-22,Camry,Toyota,21496,new,33,Gray,0,Cash
413,2019-09-11,Civic,Honda,30281,new,23,Red,0,Loan
414,2021-09-16,Impala,Chevrolet,18979,new,38,Silver,0,Lease
415,2023-10-01,Legacy,Subaru,31346,new,42,White,0,Loan
416,2022-03-28,Sentra,Nissan,32864,new,31,Black,0,Loan
417,2023-04-23,Jetta,Volkswagen,28212,used,55,Silver,73574,Lease
418,2023-08-11,Impala,Chevrolet,17870,used,57,White,77427,Cash
419,2023-07-26,Impreza,Subaru,25329,new,28,Red,0,Loan
420,2022-08-25,Legacy,Subaru,22415,new,27,Gray,0,Cash
421,2023-08-21,Tiguan,Volkswagen,21018,new,54,White,0,Cash
422,2020-09-29,Focus,Ford,34467,new,43,Gray,0,Cash
423,2020-05-24,RAV4,Toyota,19307,used,27,Blue,65964,Cash
424,2021-01-23,Accord,Honda,21466,used,53,Gray,35812,Cash
425,2020-04-17,CX-5,Mazda,18460,used,52,Red,27020,Cash
426,2020-05-17,Tiguan,Volkswagen,34884,new,36,White,0,Loan
427,2019-08-16,Malibu,Chevrolet,20374,new,22,Blue,0,Loan
428,2019-12-15,Camry,Toyota,27990,new,38,White,0,Lease
429,2020-10-15,CRV,Honda,25271,used,60,Black,10597,Loan
430,2023-06-30,Equinox,Chevrolet,20590,used,60,Silver,36638,Loan
431,2020-04-12,Equinox,Chevrolet,34676,new,50,Silver,0,Lease
432,2019-12-24,Rogue,Nissan,18538,used,61,Red,78788,Lease
433,2022-09-08,Jetta,Volkswagen,23375,new,35,Blue,0,Lease
434,2021-01-31,Passat,Volkswagen,22129,new,32,Black,0,Cash
435,2023-07-14,Civic,Honda,17789,used,27,Gray,22327,Loan
436,2019-07-21,Corolla,Toyota,29194,new,37,Blue,0,Cash
437,2022-02-11,Sportage,Kia,22539,used,54,White,44565,Loan
438,2021-10-29,RAV4,Toyota,27148,used,28,Red,58869,Loan
439,2019-06-10,CRV,Honda,34888,new,26,Blue,0,Lease
440,2023-05-12,Outback,Subaru,34125,new,25,White,0,Loan
441,2022-05-24,Jetta,Volkswagen,26804,new,64,Red,0,Cash
442,2021-01-17,Elantra,Hyundai,26643,used,46,Blue,47110,Cash
443,2021-11-30,Sonata,Hyundai,32379,new,56,Black,0,Loan
444,2021-03-18,Outback,Subaru,28796,new,37,Silver,0,Lease
445,2022-01-03,Altima,Nissan,15254,used,29,Silver,42198,Cash
446,2023-03-15,Impreza,Subaru,23905,new,59,Gray,0,Lease
447,2022-07-12,Passat,Volkswagen,25658,new,54,White,0,Cash
448,2020-03-24,Tucson,Hyundai,32414,new,47,Silver,0,Lease
449,2020-11-07,Civic,Honda,24959,new,29,White,0,Lease
450,2022-09-23,Camry,Toyota,17456,used,36,Red,35514,Cash
451,2021-01-09,Outback,Subaru,26275,new,31,Black,0,Lease
452,2022-08-14,RAV4,Toyota,20934,new,38,Silver,0,Cash
453,2022-12-08,Sentra,Nissan,22144,used,53,Gray,35891,Lease
454,2020-01-30,Mazda6,Mazda,18936,new,40,Gray,0,Lease
455,2020-04-08,Escape,Ford,20945,new,23,Blue,0,Loan
456,2021-07-12,Escape,Ford,18580,used,34,Blue,31473,Loan
457,2019-06-02,Mazda6,Mazda,23400,used,52,Silver,25253,Loan
458,2021-11-22,CX-5,Mazda,25561,new,52,Silver,0,Cash
459,2021-11-22,Tucson,Hyundai,18710,used,56,Blue,12341,Lease
460,2019-04-01,Elantra,Hyundai,20101,used,54,Blue,34566,Cash
461,2023-02-23,Impala,Chevrolet,24690,new,58,Black,0,Loan
462,2021-01-15,Sentra,Nissan,24654,new,35,Black,0,Lease
463,2021-11-23,Legacy,Subaru,21857,new,25,Silver,0,Lease
464,2021-04-29,Sonata,Hyundai,24240,used,56,Gray,15385,Cash
465,2022-01-13,Escape,Ford,24314,used,33,Gray,48218,Cash
466,2020-11-10,Altima,Nissan,30899,new,33,Red,0,Cash
467,2020-04-29,Mazda3,Mazda,27424,new,23,Red,0,Cash
468,2020-11-26,Impala,Chevrolet,33511,new,54,Black,0,Loan
469,2022-05-15,Corolla,Toyota,33654,new,42,Red,0,Cash
470,2021-12-30,Impala,Chevrolet,15861,used,61,Blue,46986,Loan
471,2022-01-06,Sonata,Hyundai,18785,used,40,Black,40919,Lease
472,2021-07-28,Tiguan,Volkswagen,34063,new,28,Black,0,Lease
473,2019-08-17,Sonata,Hyundai,24787,used,60,Gray,49213,Loan
474,2021-09-24,Impreza,Subaru,28703,new,30,Blue,0,Loan
475,2020-07-08,Elantra,Hyundai,20775,used,44,Black,56885,Loan
476,2021-02-25,Camry,Toyota,27128,used,39,Black,51581,Loan
477,2019-07-28,Legacy,Subaru,18729,new,50,Blue,0,Loan
478,2021-12-18,Tiguan,Volkswagen,26245,new,51,Gray,0,Cash
479,2023-08-04,Equinox,Chevrolet,27804,new,38,Silver,0,Loan
480,2021-10-05,Optima,Kia,16100,used,50,White,51165,Lease
481,2020-11-20,Corolla,Toyota,23356,new,24,White,0,Cash
482,2019-08-25,Impala,Chevrolet,30394,new,32,Silver,0,Loan
483,2023-03-08,Forte,Kia,24044,new,47,Blue,0,Cash
484,2019-02-27,Elantra,Hyundai,25075,new,47,Blue,0,Loan
485,2023-02-14,Mazda6,Mazda,28982,used,47,Gray,37277,Cash
486,2023-06-29,Fusion,Ford,17848,used,46,Black,39259,Cash
487,2020-11-04,Legacy,Subaru,22521,new,55,Black,0,Loan
488,2020-04-27,Impala,Chevrolet,29793,new,59,Red,0,Lease
489,2019-12-06,Passat,Volkswagen,29016,new,41,Silver,0,Lease
490,2022-09-09,Equinox,Chevrolet,20639,new,58,Black,0,Loan
491,2020-04-09,Sonata,Hyundai,20899,used,38,White,46814,Lease
492,2021-08-15,Fusion,Ford,21952,new,60,Silver,0,Cash
493,2021-05-19,Legacy,Subaru,30296,new,49,Silver,0,Cash
494,2019-03-10,Malibu,Chevrolet,28719,new,47,Blue,0,Lease
495,2020-11-20,Rogue,Nissan,22569,new,55,Blue,0,Lease
496,2020-08-30,Passat,Volkswagen,32325,new,53,Red,0,Lease
497,2023-03-11,Malibu,Chevrolet,17553,used,33,Blue,19528,Lease
498,2021-08-04,Tiguan,Volkswagen,25918,new,35,Silver,0,Cash
499,2023-06-13,Civic,Honda,16398,used,28,White,60496,Loan
500,2020-08-28,Optima,Kia,32984,new,49,Blue,0,Lease
501,2022-02-13,Camry,Toyota,18057,used,29,White,37543,Lease
502,2019-12-04,Tucson,Hyundai,34410,new,54,Gray,0,Lease
503,2020-12-25,Outback,Subaru,27415,new,42,Red,0,Cash
504,2019-09-09,Sportage,Kia,27299,used,44,Blue,41385,Cash
505,2023-11-27,Rogue,Nissan,30307,new,34,Silver,0,Cash
506,2020-06-15,Outback,Subaru,22908,new,25,Gray,0,Loan
507,2019-05-11,Rogue,Nissan,30625,new,63,Black,0,Loan
508,2020-09-03,CRV,Honda,24749,used,64,White,38211,Loan
509,2019-09-27,Tiguan,Volkswagen,22148,new,58,Blue,0,Cash
510,2022-01-11,CX-5,Mazda,32639,new,62,Gray,0,Lease
511,2019-06-27,Impreza,Subaru,24462,used,53,Red,30094,Cash
512,2021-04-06,Forte,Kia,32293,new,55,White,0,Loan
513,2019-01-16,Impreza,Subaru,22934,used,49,Black,33777,Loan
514,2020-01-12,Tiguan,Volkswagen,25253,used,37,Gray,79837,Loan
515,2022-07-16,Altima,Nissan,33630,new,45,Black,0,Cash
516,2023-05-21,Tucson,Hyundai,29530,new,49,Gray,0,Lease
517,2019-03-21,CX-5,Mazda,32015,new,59,Silver,0,Lease
518,2022-03-15,Malibu,Chevrolet,27864,new,44,Silver,0,Loan
519,2019-11-25,Civic,Honda,30370,new,56,Black,0,Cash
520,2022-04-06,Altima,Nissan,27394,new,57,Red,0,Loan
521,2019-09-20,Jetta,Volkswagen,22404,used,22,White,13629,Cash
522,2022-12-31,Tucson,Hyundai,21914,used,28,Gray,65493,Lease
523,2022-06-05,Forte,Kia,32565,new,62,Silver,0,Cash
524,2019-08-14,Sonata,Hyundai,26861,new,41,Gray,0,Cash
525,2020-04-19,Sportage,Kia,24610,used,39,Gray,78894,Lease
526,2022-03-26,Rogue,Nissan,22590,used,33,Silver,40571,Lease
527,2022-05-08,Rogue,Nissan,22554,used,30,Blue,50366,Lease
528,2021-04-18,Tucson,Hyundai,28318,used,46,Gray,24330,Loan
529,2020-08-07,RAV4,Toyota,29035,used,53,White,74909,Lease
530,2023-04-03,Mazda6,Mazda,21003,used,23,Gray,52508,Lease
531,2020-08-21,Elantra,Hyundai,28472,used,50,White,36222,Cash
532,2022-07-08,Corolla,Toyota,22558,new,42,Black,0,Lease
533,2022-01-06,Tiguan,Volkswagen,16601,used,30,White,39778,Lease
534,2021-03-09,RAV4,Toyota,26428,new,57,Blue,0,Cash
535,2021-07-13,Corolla,Toyota,27792,used,42,Blue,12944,Cash
536,2019-09-06,Civic,Honda,25197,new,36,White,0,Loan
537,2021-11-11,Camry,Toyota,21135,used,32,Black,48329,Cash
538,2019-07-09,Tiguan,Volkswagen,34464,new,39,Silver,0,Cash
539,2020-04-26,Sportage,Kia,18279,new,65,Gray,0,Lease
540,2023-02-12,Forte,Kia,27700,new,58,Gray,0,Loan
541,2019-11-04,Impala,Chevrolet,32287,new,52,Silver,0,Loan
542,2022-12-18,Accord,Honda,20456,new,22,Red,0,Cash
543,2021-11-14,Escape,Ford,18820,new,37,White,0,Cash
544,2022-05-09,Escape,Ford,26025,new,22,Silver,0,Cash
545,2020-02-12,Outback,Subaru,24194,used,30,Blue,53919,Cash
546,2021-06-14,Civic,Honda,23511,new,56,Gray,0,Lease
547,2022-12-19,Impala,Chevrolet,29287,new,42,White,0,Cash
548,2021-10-07,Altima,Nissan,30534,new,56,White,0,Cash
549,2021-03-20,Mazda6,Mazda,24399,new,35,Blue,0,Loan
550,2022-12-08,Escape,Ford,24661,new,56,Gray,0,Loan
551,2020-09-25,Passat,Volkswagen,28797,new,26,Red,0,Lease
552,2021-01-29,Rogue,Nissan,18692,used,42,Gray,71704,Lease
553,2022-06-26,Focus,Ford,34057,new,40,Blue,0,Loan
554,2020-12-26,Focus,Ford,26583,used,53,Black,38872,Cash
555,2023-08-26,Malibu,Chevrolet,27438,used,62,White,57057,Cash
556,2019-05-13,Focus,Ford,20230,used,45,Black,65017,Lease
557,2022-10-23,Passat,Volkswagen,33901,new,38,White,0,Cash
558,2023-12-08,Jetta,Volkswagen,17035,used,55,White,60279,Cash
559,2023-04-14,Camry,Toyota,28212,new,59,Red,0,Cash
560,2021-09-25,Elantra,Hyundai,24934,used,48,White,11537,Cash
561,2019-08-12,Equinox,Chevrolet,34630,new,64,Silver,0,Lease
562,2019-09-28,CX-5,Mazda,19080,new,62,Blue,0,Loan
563,2021-12-20,Fusion,Ford,17186,used,37,Silver,50815,Cash
564,2022-08-03,Sentra,Nissan,31008,new,56,Black,0,Loan
565,2023-05-02,Accord,Honda,21109,used,26,Silver,19101,Loan
566,2019-12-16,CX-5,Mazda,20607,used,36,Silver,57316,Lease
567,2021-06-19,Forte,Kia,23075,used,40,White,15832,Cash
568,2020-06-26,Forte,Kia,26638,used,36,Red,32009,Cash
569,2022-10-30,RAV4,Toyota,22243,new,51,Black,0,Cash
570,2023-09-19,Tucson,Hyundai,28004,used,40,White,19617,Cash
571,2020-02-14,Legacy,Subaru,30164,new,62,Red,0,Lease
572,2021-03-03,Altima,Nissan,16050,used,35,Black,48397,Lease
573,2019-08-07,RAV4,Toyota,34679,new,55,Silver,0,Lease
574,2022-09-14,Accord,Honda,20882,new,36,Gray,0,Loan
575,2022-05-04,Mazda3,Mazda,21530,used,51,Blue,55574,Lease
576,2022-03-15,CX-5,Mazda,32962,new,61,Black,0,Lease
577,2019-03-20,Optima,Kia,31225,new,42,Blue,0,Cash
578,2020-02-23,Outback,Subaru,29133,used,49,Red,63126,Loan
579,2021-09-27,CX-5,Mazda,20532,new,23,Blue,0,Lease
580,2021-07-26,Fusion,Ford,22442,used,65,Gray,12600,Cash
581,2023-08-28,Altima,Nissan,34287,new,28,Red,0,Lease
582,2021-06-13,Elantra,Hyundai,21418,used,36,Silver,10294,Cash
583,2023-03-07,Outback,Subaru,21115,used,48,White,59738,Cash
584,2022-01-27,Camry,Toyota,19875,used,59,Blue,17454,Cash
585,2021-08-17,Tiguan,Volkswagen,16033,used,40,Blue,61173,Cash
586,2019-06-19,Focus,Ford,23942,new,56,Red,0,Loan
587,2020-10-19,Jetta,Volkswagen,19705,new,27,Red,0,Loan
588,2019-08-29,Sentra,Nissan,21842,used,51,Red,41190,Lease
589,2022-01-23,Mazda3,Mazda,29196,used,33,Silver,70256,Lease
590,2022-12-26,Tucson,Hyundai,19952,new,46,Silver,0,Cash
591,2019-08-24,CRV,Honda,34296,new,40,Black,0,Lease
592,2021-07-02,Elantra,Hyundai,24763,used,53,Gray,65105,Loan
593,2019-07-20,Tiguan,Volkswagen,19155,new,38,Gray,0,Loan
594,2023-08-09,Altima,Nissan,32220,new,27,Gray,0,Loan
595,2022-09-19,Rogue,Nissan,32246,new,34,Gray,0,Lease
596,2022-08-09,Impala,Chevrolet,25233,used,62,Gray,62507,Cash
597,2021-11-04,Impreza,Subaru,24841,used,52,Silver,27802,Loan
598,2021-01-03,Altima,Nissan,28532,used,24,Black,32430,Lease
599,2020-03-03,Malibu,Chevrolet,19978,used,29,White,58281,Loan
600,2023-01-26,Rogue,Nissan,30056,new,57,Silver,0,Lease
601,2019-12-14,Fusion,Ford,22954,new,56,Blue,0,Loan
602,2023-06-06,Sentra,Nissan,22715,used,27,Blue,38501,Cash
603,2022-06-21,Mazda6,Mazda,17284,used,28,Silver,16582,Loan
604,2022-12-25,Sentra,Nissan,18062,used,40,Silver,64326,Cash
605,2022-06-17,Escape,Ford,23318,new,57,Silver,0,Cash
606,2019-01-13,Civic,Honda,20022,used,29,Black,79116,Loan
607,2022-06-02,Outback,Subaru,24479,used,27,Gray,42265,Lease
608,2021-08-14,Camry,Toyota,20281,used,54,Blue,28170,Loan
609,2022-04-07,Sentra,Nissan,16963,used,56,Red,29309,Loan
610,2023-05-20,Sportage,Kia,27866,used,61,Silver,57732,Loan
611,2021-05-21,Camry,Toyota,24139,new,55,Red,0,Lease
612,2020-05-08,Tiguan,Volkswagen,24045,used,50,Silver,25457,Cash
613,2019-04-03,Optima,Kia,25925,used,26,Silver,19566,Cash
614,2023-01-12,Forte,Kia,22396,used,24,Black,47050,Lease
615,2021-03-01,CRV,Honda,27988,new,40,Black,0,Loan
616,2019-07-08,Malibu,Chevrolet,34752,new,54,Red,0,Loan
617,2019-09-04,Optima,Kia,22149,new,26,Blue,0,Cash
618,2019-09-16,Outback,Subaru,24613,used,34,Gray,74657,Cash
619,2019-03-14,Passat,Volkswagen,31721,new,27,Silver,0,Lease
620,2021-05-26,Sonata,Hyundai,18318,used,34,Gray,63938,Loan
621,2020-07-28,Rogue,Nissan,28050,new,60,White,0,Loan
622,2023-03-19,Sportage,Kia,30405,new,24,Blue,0,Lease
623,2023-02-21,Impreza,Subaru,26726,used,61,Black,24536,Lease
624,2023-03-20,Camry,Toyota,18807,new,54,Blue,0,Lease
625,2022-10-30,Optima,Kia,26326,used,34,Gray,37315,Lease
626,2020-09-18,Rogue,Nissan,22442,used,64,Gray,35411,Cash
627,2020-10-21,Tucson,Hyundai,31888,new,23,White,0,Cash
628,2021-09-18,Sonata,Hyundai,31871,new,22,Gray,0,Loan
629,2021-10-27,Sentra,Nissan,27319,used,30,Red,30224,Cash
630,2020-05-23,Equinox,Chevrolet,21132,new,48,Black,0,Loan
631,2023-05-29,Impala,Chevrolet,33906,new,47,Red,0,Lease
632,2019-10-27,RAV4,Toyota,15774,used,31,Gray,46596,Loan
633,2022-11-02,Mazda6,Mazda,20404,new,58,Black,0,Loan
634,2021-04-01,Outback,Subaru,31299,new,63,White,0,Loan
635,2023-02-13,CX-5,Mazda,21825,new,61,Blue,0,Lease
636,2022-08-14,Equinox,Chevrolet,31302,new,24,Red,0,Loan
637,2023-08-30,Malibu,Chevrolet,18252,new,24,White,0,Loan
638,2021-09-10,Escape,Ford,21667,used,51,Black,74639,Loan
639,2022-06-29,Escape,Ford,21930,used,35,Black,60617,Cash
640,2019-12-11,Legacy,Subaru,27254,new,30,White,0,Loan
641,2021-06-06,Civic,Honda,29264,used,45,Gray,74774,Cash
642,2021-12-10,Malibu,Chevrolet,20028,new,60,Black,0,Cash
643,2019-10-06,Sonata,Hyundai,20795,used,23,Black,73344,Loan
644,2019-01-08,Mazda6,Mazda,15512,used,29,Gray,29164,Lease
645,2021-05-18,RAV4,Toyota,31870,new,62,Silver,0,Loan
646,2022-09-11,Sonata,Hyundai,24551,new,50,White,0,Loan
647,2020-01-26,Sonata,Hyundai,16760,used,43,Silver,25189,Cash
648,2023-11-25,Tiguan,Volkswagen,21324,used,44,White,12677,Cash
649,2023-12-09,Camry,Toyota,32365,new,63,Silver,0,Cash
650,2023-02-11,Fusion,Ford,18325,new,59,Gray,0,Loan
651,2021-10-23,CRV,Honda,20486,used,33,Blue,23289,Lease
652,2020-04-19,Rogue,Nissan,23347,used,49,Blue,41901,Lease
653,2023-08-03,Sonata,Hyundai,22449,used,39,Black,22101,Loan
654,2020-08-13,Focus,Ford,16767,used,46,Silver,45067,Lease
655,2022-08-28,Forte,Kia,19146,new,47,Silver,0,Loan
656,2021-08-21,Passat,Volkswagen,31371,new,55,Red,0,Cash
657,2022-10-29,Fusion,Ford,25291,used,61,Blue,18324,Cash
658,2022-08-08,Legacy,Subaru,23189,used,57,White,44653,Cash
659,2023-09-30,Jetta,Volkswagen,25869,new,22,Gray,0,Lease
660,2019-08-03,Equinox,Chevrolet,15775,used,40,White,15106,Lease
661,2019-04-11,Altima,Nissan,31221,new,43,Silver,0,Lease
662,2021-04-05,Mazda3,Mazda,18632,new,27,Red,0,Loan
663,2022-03-12,Rogue,Nissan,28406,used,62,White,11817,Loan
664,2020-01-06,Camry,Toyota,23974,used,53,Black,54418,Loan
665,2023-03-11,Mazda3,Mazda,30282,new,62,Black,0,Loan
666,2021-03-18,Forte,Kia,23175,used,38,Silver,59708,Lease
667,2019-05-22,Legacy,Subaru,26593,new,26,Silver,0,Lease
668,2022-02-24,Mazda3,Mazda,26796,new,25,Red,0,Lease
669,2020-09-28,Sportage,Kia,23233,new,53,Red,0,Loan
670,2022-02-25,Passat,Volkswagen,18190,used,31,Silver,69046,Loan
671,2019-02-03,Sportage,Kia,23652,used,43,Silver,31884,Cash
672,2021-10-08,Civic,Honda,23857,new,44,White,0,Lease
673,2021-05-05,Tiguan,Volkswagen,19859,used,33,White,79637,Loan
674,2021-02-10,Legacy,Subaru,19947,used,36,Red,47634,Loan
675,2022-06-02,Altima,Nissan,21028,used,51,Black,15083,Loan
676,2020-12-10,Passat,Volkswagen,20543,new,53,Blue,0,Loan
677,2020-04-16,Optima,Kia,24644,used,55,White,34956,Loan
678,2023-11-06,Civic,Honda,26671,used,64,Silver,56143,Lease
679,2023-03-31,Optima,Kia,18655,used,44,Blue,40658,Lease
680,2023-03-01,Jetta,Volkswagen,25220,new,31,White,0,Lease
681,2021-11-27,Sentra,Nissan,26784,new,28,Red,0,Lease
682,2021-01-27,Outback,Subaru,32615,new,33,Silver,0,Cash
683,2023-03-05,Passat,Volkswagen,22473,used,56,Red,51818,Loan
684,2019-12-06,Equinox,Chevrolet,21785,used,24,Blue,27918,Cash
685,2022-02-18,Focus,Ford,20333,used,45,Gray,16949,Loan
686,2020-03-12,RAV4,Toyota,23104,used,44,Silver,65617,Cash
687,2019-12-17,Malibu,Chevrolet,21367,new,27,Silver,0,Lease
688,2022-05-25,Elantra,Hyundai,15769,used,25,Gray,77249,Cash
689,2022-11-04,Sentra,Nissan,20322,new,52,Red,0,Lease
690,2023-04-10,Elantra,Hyundai,33148,new,30,Gray,0,Lease
691,2020-09-18,Impala,Chevrolet,29985,new,26,Blue,0,Lease
692,2021-01-27,Jetta,Volkswagen,34492,new,32,Silver,0,Cash
693,2019-09-12,Altima,Nissan,29341,used,60,Red,73926,Lease
694,2021-10-15,Fusion,Ford,18852,new,25,Black,0,Loan
695,2022-08-01,Legacy,Subaru,21418,new,42,Black,0,Loan
696,2019-04-21,Malibu,Chevrolet,21661,used,60,White,50791,Loan
697,2023-09-25,CX-5,Mazda,19417,used,32,Gray,20690,Loan
698,2023-10-06,Outback,Subaru,19371,used,63,Blue,58125,Lease
699,2020-12-16,Malibu,Chevrolet,21503,used,38,Red,18994,Loan
700,2020-03-03,Impala,Chevrolet,29006,new,43,White,0,Cash
701,2021-08-18,Optima,Kia,32849,new,28,White,0,Cash
702,2023-06-05,Fusion,Ford,19315,used,46,Gray,17288,Cash
703,2021-05-30,Outback,Subaru,15258,used,44,Silver,64749,Loan
704,2023-09-12,Accord,Honda,19952,new,32,Silver,0,Cash
705,2022-10-01,CX-5,Mazda,20781,used,31,Gray,59644,Cash
706,2023-07-10,Altima,Nissan,23130,used,52,Silver,58722,Cash
707,2020-02-20,Mazda3,Mazda,26186,used,29,White,60330,Cash
708,2020-03-05,Elantra,Hyundai,33684,new,57,Gray,0,Loan
709,2019-10-19,Fusion,Ford,33743,new,35,Blue,0,Cash
710,2023-06-17,Optima,Kia,26292,used,59,White,53681,Loan
711,2020-12-06,CX-5,Mazda,21789,new,63,Black,0,Lease
712,2019-07-30,Equinox,Chevrolet,27230,used,59,Gray,74792,Lease
713,2023-05-18,Impala,Chevrolet,28296,new,46,Blue,0,Lease
714,2022-11-01,Impala,Chevrolet,20450,used,55,White,78451,Lease
715,2019-04-02,Forte,Kia,26404,new,64,Silver,0,Cash
716,2019-08-07,Jetta,Volkswagen,33407,new,23,Gray,0,Lease
717,2022-07-23,Tucson,Hyundai,18961,new,49,Red,0,Lease
718,2019-04-06,Tucson,Hyundai,27811,new,64,Silver,0,Lease
719,2023-10-12,CX-5,Mazda,22978,used,30,Blue,37513,Lease
720,2022-12-02,Accord,Honda,31647,new,55,Silver,0,Lease
721,2019-02-03,Altima,Nissan,21792,used,58,Gray,16591,Cash
722,2021-03-23,Escape,Ford,26702,new,26,Red,0,Lease
723,2020-06-07,Fusion,Ford,19175,new,63,Silver,0,Lease
724,2023-08-13,Elantra,Hyundai,18852,used,63,White,58643,Lease
725,2023-06-16,Fusion,Ford,24274,new,25,Black,0,Lease
726,2023-05-31,Outback,Subaru,28972,used,54,Black,45276,Loan
727,2020-09-05,Elantra,Hyundai,23969,used,46,White,79305,Loan
728,2023-03-24,CRV,Honda,19970,used,30,White,23750,Cash
729,2023-03-03,Mazda6,Mazda,19108,used,63,Silver,31223,Loan
730,2020-06-19,CX-5,Mazda,18579,new,48,Silver,0,Lease
731,2021-09-01,Fusion,Ford,22832,new,43,Gray,0,Loan
732,2020-03-08,Elantra,Hyundai,29495,used,35,Black,36142,Loan
733,2022-07-23,Impala,Chevrolet,15614,used,42,White,21621,Lease
734,2023-09-18,Mazda6,Mazda,25498,used,25,White,23686,Loan
735,2021-01-29,Optima,Kia,26606,used,33,Blue,27196,Cash
736,2021-04-06,Forte,Kia,18295,new,63,Blue,0,Loan
737,2021-10-13,Sportage,Kia,25320,new,60,Gray,0,Cash
738,2020-06-23,Optima,Kia,34240,new,51,Silver,0,Cash
739,2019-10-30,Legacy,Subaru,25819,used,24,White,45556,Loan
740,2020-02-27,Forte,Kia,20519,new,29,Gray,0,Cash
741,2021-09-15,Focus,Ford,27134,used,61,Silver,11205,Loan
742,2023-09-24,Altima,Nissan,23785,used,57,Silver,43787,Lease
743,2019-07-04,Corolla,Toyota,22855,used,29,Blue,36686,Lease
744,2021-09-07,Elantra,Hyundai,28270,new,44,Red,0,Loan
745,2020-10-01,RAV4,Toyota,33991,new,60,Black,0,Loan
746,2023-08-07,Passat,Volkswagen,28280,new,33,Gray,0,Loan
747,2022-07-03,Sportage,Kia,17504,used,30,Blue,19156,Loan
748,2020-10-23,RAV4,Toyota,23531,new,47,Blue,0,Lease
749,2023-12-24,Rogue,Nissan,27632,new,64,Gray,0,Cash
750,2020-04-09,Mazda6,Mazda,29390,used,54,Red,55392,Lease
751,2022-08-20,Passat,Volkswagen,24549,used,23,Gray,24459,Cash
752,2022-09-13,Passat,Volkswagen,33768,new,39,Blue,0,Cash
753,2021-01-21,Civic,Honda,31927,new,34,Black,0,Lease
754,2019-03-28,Passat,Volkswagen,33336,new,57,Gray,0,Cash
755,2020-06-25,Sonata,Hyundai,21114,new,45,Red,0,Loan
756,2021-12-12,Accord,Honda,26861,used,49,Black,50123,Loan
757,2019-06-07,Sportage,Kia,33561,new,46,Black,0,Lease
758,2019-11-25,Rogue,Nissan,20756,new,58,Silver,0,Lease
759,2023-08-17,Forte,Kia,23541,used,47,Silver,52339,Loan
760,2022-11-11,Sportage,Kia,22231,used,33,Black,55276,Lease
761,2020-03-08,CX-5,Mazda,28784,new,62,Blue,0,Lease
762,2022-10-30,Elantra,Hyundai,18675,used,27,Blue,36239,Lease
763,2019-02-15,CRV,Honda,23150,used,40,Red,14441,Cash
764,2019-06-17,Mazda6,Mazda,28395,new,24,Blue,0,Loan
765,2021-11-06,CRV,Honda,19086,used,27,Black,44676,Lease
766,2019-08-18,Focus,Ford,28588,used,42,White,28017,Loan
767,2020-06-25,Escape,Ford,27730,new,48,Black,0,Cash
768,2019-11-09,Mazda6,Mazda,17800,used,26,Black,77425,Loan
769,2023-05-08,Passat,Volkswagen,23197,used,30,Black,10178,Cash
770,2019-08-05,Corolla,Toyota,17686,used,36,Blue,17354,Lease
771,2022-08-11,Accord,Honda,31062,new,25,Red,0,Loan
772,2021-09-28,Optima,Kia,27214,new,34,Gray,0,Loan
773,2019-06-19,Forte,Kia,33152,new,61,Black,0,Loan
774,2022-06-11,Legacy,Subaru,16497,used,64,White,15297,Cash
775,2023-04-23,Rogue,Nissan,22121,used,50,White,52540,Lease
776,2020-04-07,Elantra,Hyundai,30425,new,58,Red,0,Loan
777,2019-09-28,Outback,Subaru,25387,used,28,Silver,70356,Cash
778,2020-02-28,Tiguan,Volkswagen,31568,new,44,Black,0,Loan
779,2020-05-13,CRV,Honda,21999,new,26,Gray,0,Loan
